Date,Open,High,Low,Close,Adj Close,Volume
2013-06-04,26.578550,27.092146,26.548338,26.941088,11.887155,53578308
2013-06-05,26.933535,26.978851,26.623867,26.631420,11.750522,30271671
2013-06-06,26.593657,27.084593,26.510574,27.046827,11.933814,30529719
2013-06-07,27.167673,27.228098,26.722054,26.774923,11.813833,34489273
2013-06-10,27.092146,27.273415,26.956194,27.182779,11.993797,28932313
2013-06-11,27.084593,27.341391,26.978851,27.009064,11.917148,34427840
2013-06-12,27.190332,27.296074,26.865559,26.903322,11.870488,22449214
2013-06-13,26.895769,27.484894,26.895769,27.416918,12.097107,26668802
2013-06-14,27.341391,27.424471,27.107250,27.122356,11.967135,31739855
2013-06-17,27.243202,27.296074,26.797583,27.009064,11.917148,30934466
2013-06-18,27.061934,27.454683,27.031721,27.318731,12.053778,20333860
2013-06-19,27.235649,27.296074,26.623867,26.623867,11.747189,32390998
2013-06-20,26.435045,26.586103,25.921450,25.944109,11.447257,42099890
2013-06-21,26.095165,26.231117,25.755287,26.034742,11.487248,129015988
2013-06-24,25.913897,26.321753,25.777946,26.027189,11.483917,94294618
2013-06-25,26.200907,26.593657,26.087612,26.457705,11.673871,88913882
2013-06-26,26.752266,26.805136,26.503021,26.684290,11.773849,29010958
2013-06-27,26.835346,27.152569,26.812689,26.910875,11.873822,24164986
2013-06-28,26.850452,26.956194,26.669184,26.737160,11.797177,31662004
2013-07-01,26.737160,26.948641,26.578550,26.661631,11.763850,26352102
2013-07-02,26.654079,27.039274,26.548338,26.835346,11.840494,24672608
2013-07-03,26.790030,26.993958,26.586103,26.903322,11.870488,15358400
2013-07-05,27.039274,27.114803,26.623867,27.061934,11.940473,22692168
2013-07-08,26.903322,26.956194,26.729607,26.873112,12.057664,20990166
2013-07-09,27.016617,27.061934,26.842899,26.888218,12.064439,19181450
2013-07-10,26.880665,26.948641,26.623867,26.729607,11.993273,23616320
2013-07-11,27.001511,27.197886,26.948641,27.092146,12.155939,30551830
2013-07-12,27.099697,27.122356,26.858006,27.046827,12.135611,25242987
2013-07-15,26.948641,27.009064,26.631420,26.850452,12.047491,22740494
2013-07-16,26.903322,27.114803,26.888218,27.099697,12.159328,23304916
2013-07-17,27.160122,27.424471,27.114803,27.160122,12.186439,22250482
2013-07-18,27.084593,27.182779,26.895769,26.993958,12.111886,25919154
2013-07-19,27.061934,27.077040,26.827795,27.046827,12.135611,28007234
2013-07-22,27.016617,27.107250,26.842899,26.873112,12.057664,25422389
2013-07-23,27.001511,27.152569,26.812689,27.046827,12.135611,30388051
2013-07-24,26.729607,26.812689,26.382175,26.737160,11.996663,40962971
2013-07-25,26.570997,26.865559,26.555891,26.782476,12.016992,29238819
2013-07-26,26.744713,26.963745,26.669184,26.888218,12.064439,18745060
2013-07-29,26.918428,27.190332,26.865559,27.099697,12.159328,22012030
2013-07-30,27.190332,27.243202,26.744713,26.752266,12.003442,25276881
2013-07-31,26.759819,26.873112,26.601208,26.638973,11.952605,28235756
2013-08-01,26.925982,27.054380,26.714502,26.978851,12.105108,24409529
2013-08-02,26.888218,27.024170,26.820242,27.016617,12.122056,28798854
2013-08-05,26.963745,27.077040,26.865559,26.941088,12.088163,13556436
2013-08-06,26.903322,26.933535,26.744713,26.797583,12.023772,16952761
2013-08-07,26.752266,26.986404,26.752266,26.880665,12.061049,17596754
2013-08-08,26.933535,26.978851,26.525681,26.654079,11.959384,23774141
2013-08-09,26.631420,26.669184,26.246223,26.283989,11.793326,28521078
2013-08-12,26.246223,26.412388,26.231117,26.374622,11.833996,21168509
2013-08-13,26.397282,26.427492,26.110271,26.223564,11.766216,21459127
2013-08-14,26.253777,26.276436,26.064955,26.261330,11.783159,23042631
2013-08-15,26.132931,26.216011,25.944109,25.944109,11.640827,23558859
2013-08-16,25.883686,25.966766,25.611782,25.815710,11.583219,32519823
2013-08-19,25.755287,25.815710,25.400303,25.521149,11.451053,27966587
2013-08-20,25.566465,25.747734,25.513596,25.581572,11.478163,21386969
2013-08-21,25.528702,25.566465,25.271902,25.287008,11.345996,27207538
2013-08-22,25.302114,25.679758,25.067976,25.543806,11.461219,34312519
2013-08-23,25.536255,25.929003,25.490936,25.898792,11.620498,39360799
2013-08-26,25.913897,25.989426,25.528702,25.543806,11.461219,18436965
2013-08-27,25.354984,25.725077,25.324774,25.445620,11.417164,24718815
2013-08-28,25.453173,25.558912,25.362537,25.362537,11.379884,22056516
2013-08-29,25.407854,25.725077,25.385197,25.415407,11.403606,29444568
2013-08-30,25.415407,25.596678,25.354984,25.551359,11.464603,26995168
2013-09-03,25.687311,25.762840,25.105740,25.166162,11.291774,40735376
2013-09-04,25.090633,25.490936,25.083082,25.483383,11.434103,24784353
2013-09-05,25.506042,25.619335,25.128399,25.181269,11.298551,26264982
2013-09-06,25.302114,25.362537,25.098186,25.234138,11.322272,26069428
2013-09-09,25.279455,25.468279,25.113293,25.400303,11.396829,25146070
2013-09-10,25.589125,25.755287,25.490936,25.657101,11.512051,36663281
2013-09-11,25.664654,25.868580,25.581572,25.657101,11.512051,27920512
2013-09-12,25.634441,26.019636,25.634441,25.966766,11.650998,32619653
2013-09-13,26.064955,26.231117,25.838369,25.921450,11.630659,18838666
2013-09-16,26.110271,26.231117,25.951662,26.110271,11.715384,21010688
2013-09-17,26.125378,26.321753,26.095165,26.246223,11.776384,23565611
